x,y,hour_sin,hour_cos,month_sin,month_cos,is_weekend,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,weather_맑음,weather_비,weather_안개,weather_흐림,season_spring,season_summer,season_winter,time_zone_Evening,time_zone_Morning,time_zone_Night
127.37845171,36.29808682,0.0,1.0,0.8660254037844387,-0.4999999999999998,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
127.3846395,36.29705148,0.0,1.0,0.8660254037844387,-0.4999999999999998,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
127.36900712,36.32984993,0.0,1.0,0.8660254037844387,-0.4999999999999998,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
127.37726999,36.35174266,0.0,1.0,0.8660254037844387,-0.4999999999999998,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
127.3953353,36.37661049,0.0,1.0,0.8660254037844387,-0.4999999999999998,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
127.33673294,36.3552552,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
127.34331115,36.29369843,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
127.37722493,36.35175897,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
127.38923615,36.34984243,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
127.38887171,36.34186831,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
127.37758825,36.34987148,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
127.37357359,36.31916182,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
127.3751675,36.32889086,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
127.38854132,36.34101984,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
127.38047425,36.34406281,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
127.42466018,36.32561515,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
